;;;n;e;;value
Hämeentie 7; Helsinki; Finland;60.181574;24.955299;success;33
Mannerheimintie 57-59; Helsinki; Finland;60.1903;24.915794;success;39
Kehä I; Helsinki; Finland;60.243998;24.945843;success;33
Hämeentie 84-90; Helsinki; Finland;60.195236;24.961124;success;20
Eliel Saarisen Tie 25; Helsinki; Finland;60.220648;24.894603;success;35
Mäkelänkatu 86; Helsinki; Finland;60.211474;24.943618;success;41
Mäkelänkatu 78-82; Helsinki; Finland;60.209152;24.944486;success;31
Sörnäisten Rantatie 20; Helsinki; Finland;60.18513;24.967468;success;25
Sörnäisten Rantatie 27; Helsinki; Finland;60.186422;24.96681;success;37
Sturenkatu 38; Helsinki; Finland;60.195855;24.959317;success;31
Vilhonkatu 5; Helsinki; Finland;60.172257;24.946954;success;33
Kaisaniemenkatu 3; Helsinki; Finland;60.171128;24.947133;success;33
Töölönlahdenkatu 1; Helsinki; Finland;60.172578;24.939849;success;28
Pohjoisesplanadi 2; Helsinki; Finland;60.167354;24.943982;success;43
Pohjoisesplanadi; Helsinki; Finland;60.16803;24.956472;success;29
Uudenmaankatu 42; Helsinki; Finland;60.162559;24.936115;success;31
Lönnrotinkatu 3; Helsinki; Finland;60.167244;24.940507;success;31
Mechelininkatu 10; Helsinki; Finland;60.171868;24.919702;success;37
Marian Sairaala kaupunkipyöräasema; Helsinki; Finland;60.168335;24.92277;success;36
Mannerheimintie 170; Helsinki; Finland;60.203959;24.89856;success;30
Huopalahdentie 6; Helsinki; Finland;60.19768;24.883824;success;28
Mannerheimintie 76; Helsinki; Finland;60.184814;24.921047;success;32
