n;e;temp;name
60.30373;25.54916;6.1;Porvoo Kilpilahti satama
60.12467;19.90362;5.9;Jomala Maarianhamina lentoasema
59.77909;21.37479;5.6;Parainen Utö
59.95911;19.95374;5.4;Lemland Nyhamn
60.17824;19.98686;6.1;Jomala Jomalaby
60.30098;19.13142;4.6;Hammarland Märket
59.50454;20.34748;5.3;Kökar Bogskär
60.11163;21.69828;5.8;Parainen Fagerholm
60.25823;20.74698;6.0;Kumlinge kirkonkylä
59.77363;22.94868;5.8;Hanko Russarö
60.38690;22.55183;5.5;Kaarina Yltöinen
59.86949;22.19343;5.9;Kemiönsaari Vänö
59.80861;22.91248;6.3;Hanko Tulliniemi
60.37788;22.09640;6.5;Turku Rajakari
60.45439;22.17870;6.4;Turku Artukainen
60.17123;22.75768;6.1;Kemiönsaari Kemiö
59.84383;23.24839;6.4;Hanko Tvärminne
60.37392;23.11292;6.8;Salo Kärkkä
59.82076;23.57309;5.7;Raasepori Jussarö
60.46415;23.64976;6.9;Salo Kiikala lentokenttä
60.32670;24.95675;8.9;Vantaa Helsinki-Vantaan lentoasema
59.93114;24.01408;6.3;Inkoo Bågaskär
60.17523;24.94459;8.3;Helsinki Kaisaniemi
60.24446;24.04951;7.8;Lohja Porla
60.41875;24.39862;7.2;Vihti Maasoja
60.10512;24.97539;6.0;Helsinki Harmaja
59.91982;24.35023;5.9;Kirkkonummi Mäkiluoto
59.94898;24.92631;5.9;Helsinki Helsingin majakka
60.20307;24.96131;8.9;Helsinki Kumpula
60.25299;25.04549;7.8;Helsinki Malmi lentokenttä
60.20382;25.62546;6.6;Porvoo Emäsalo
60.39172;25.60730;7.6;Porvoo Harabacka
60.37538;26.95893;7.3;Kotka Rankki
60.27476;26.44759;6.5;Loviisa Orrengrund
60.28676;27.18482;6.8;Kotka Haapasaari
60.72220;21.02681;5.0;Kustavi Isokari
61.14475;21.30273;5.0;Rauma Kylmäpihlaja
61.47893;21.78320;4.9;Pori rautatieasema
61.25294;22.34613;5.8;Kokemäki Tulkkila
60.81401;23.49761;6.8;Jokioinen Ilmala
61.41838;23.61811;6.2;Pirkkala Tampere-Pirkkala lentoasema
61.46561;23.74678;6.3;Tampere Härmälä
60.64668;23.80559;7.1;Somero Salkola
60.59589;24.80297;7.7;Hyvinkää Hyvinkäänkylä
60.50878;24.65373;7.9;Nurmijärvi Röykkä
60.99920;24.49163;8.4;Hämeenlinna Katinen
61.11454;24.32449;7.8;Hattula Lepaa
60.96211;25.63090;8.5;Lahti Laune
61.05408;25.03844;9.0;Hämeenlinna Lammi Pappila
61.26521;25.52021;8.2;Asikkala Pulkkilanharju
61.21660;25.13283;7.4;Hämeenlinna Lammi Evo
60.89839;26.94882;8.4;Kouvola Utti lentoasema
60.69648;26.81116;8.2;Kouvola Anjala
61.20005;26.04950;9.6;Heinola Asemantaus
60.89077;26.92915;8.4;Kouvola Utti Lentoportintie
60.52720;27.67274;6.7;Virolahti Koivuniemi
61.04416;28.15092;8.9;Lappeenranta lentoasema
61.03879;28.56395;7.7;Lappeenranta Konnunsuo
61.05754;28.20873;9.2;Lappeenranta Lepola
61.19820;28.47308;6.9;Lappeenranta Hiekkapakka
61.44467;29.46108;8.9;Parikkala Koitsanlahti
62.33382;21.19081;5.3;Kaskinen Sälgrund
61.63040;21.37592;4.9;Pori Tahkoluoto satama
62.20324;21.16983;4.1;Kristiinankaupunki Majakka
62.18325;22.79972;5.3;Karvia Alkkia
62.41345;22.18372;4.8;Kauhajoki Kuja-Kokko
61.83864;22.46368;5.4;Kankaanpää Niinisalo lentokenttä
62.32783;23.54228;4.8;Virrat Äijänneva
61.51757;23.75388;6.5;Tampere Siilinkari
61.85539;24.80458;6.2;Jämsä Halli lentoasema
61.84591;24.28696;5.5;Juupajoki Hyytiälä
61.85959;24.81483;6.5;Jämsä Halli Lentoasemantie
62.39758;25.67087;6.4;Jyväskylä lentoasema
61.70448;25.50529;6.7;Luhanka Judinsalo
61.87942;26.09478;7.4;Joutsa Savenaho
61.68860;27.20219;8.9;Mikkeli lentoasema
61.89230;27.88528;8.7;Juva Partala
62.32221;27.90785;9.1;Varkaus Kosulanniemi
61.94640;28.93131;9.0;Savonlinna lentoasema
62.06302;28.56618;8.0;Rantasalmi Rukkasluoto
61.80186;29.31506;9.5;Savonlinna Punkaharju Laukansaari
62.23539;30.34662;9.9;Tohmajärvi Kemie
63.43508;21.06856;4.0;Mustasaari Valassaaret
62.93433;21.18525;4.5;Korsnäs Bredskäret
62.97839;20.74006;4.2;Maalahti Strömmingsbådan
63.09875;21.63952;4.0;Vaasa Klemettilä
62.93808;22.48878;3.7;Seinäjoki Pelmaa
63.12045;23.04366;4.2;Kauhava lentokenttä
62.55461;24.14239;5.3;Ähtäri Inha
63.44564;24.44422;4.4;Halsua Purola
63.08898;24.26084;5.0;Alajärvi Möksy
62.51044;24.80764;5.2;Multia Karhila
63.08225;25.85862;6.5;Viitasaari Haapaniemi
62.92178;26.42470;5.9;Vesanto Sonkari
63.00825;27.79935;7.7;Siilinjärvi Kuopio lentoasema
63.14343;27.31317;7.0;Kuopio Maaninka
62.79892;27.90495;6.7;Kuopio Ritoniemi
62.89256;27.63331;8.3;Kuopio Savilahti
63.37806;28.66166;5.2;Rautavaara Ylä-Luosta
62.65986;29.61158;8.4;Liperi Joensuu lentoasema
63.23236;29.23397;7.8;Juuka Niemelä
62.54601;29.66818;5.5;Liperi Tuiskavanluoto
62.60155;29.72380;7.0;Joensuu Linnunlahti
63.32108;30.04578;7.2;Lieksa Lampela
63.14167;31.04438;7.6;Ilomantsi Pötsönvaara
62.76966;30.97533;8.3;Ilomantsi Mekrijärvi
63.75144;22.52282;1.7;Pietarsaari Kallan
63.95114;22.84537;2.1;Kokkola Tankar
63.72068;23.13922;2.9;Kruunupyy Kokkola-Pietarsaari lentoasema
64.33073;23.44627;1.5;Kalajoki Ulkokalla
63.82133;24.16323;3.6;Toholampi Laitala
64.05029;24.72468;3.8;Ylivieska lentokenttä
64.14263;25.42335;4.3;Haapavesi Mustikkamäki
63.73589;25.70573;4.9;Pyhäjärvi Ojakylä
64.28290;27.67114;4.0;Kajaani lentoasema
63.84090;27.22061;5.2;Vieremä Kaarakkala
63.66730;28.82927;6.4;Valtimo kirkonkylä
64.11197;28.33639;5.3;Sotkamo Kuolaniemi
64.29760;30.17061;4.3;Kuhmo Kalliojoki
64.61178;23.89674;1.4;Raahe Nahkiainen
65.01967;24.72758;2.2;Hailuoto Keskikylä
65.38536;24.09610;1.9;Kemi I majakka
65.03975;24.56118;1.1;Hailuoto Marjaniemi
64.66589;24.40695;2.5;Raahe Lapaluoto satama
64.68421;25.08919;3.4;Siikajoki Ruukki
65.00639;25.39328;3.4;Oulu Vihreäsaari satama
64.93700;25.37299;3.5;Oulu Oulunsalo Pellonpää
64.50144;26.42386;3.4;Vaala Pelso
65.40014;26.96311;2.1;Pudasjärvi lentokenttä
64.93125;28.74672;0.6;Suomussalmi Pesiö
64.66404;28.05673;2.0;Puolanka Paljakka
65.78944;24.58278;2.3;Kemi Kemi-Tornio lentoasema
65.67319;24.51520;1.9;Kemi Ajos
65.84733;24.17369;2.5;Tornio Torppi
65.97684;26.36754;0.4;Ranua lentokenttä
65.57489;28.21766;0.5;Taivalkoski kirkonkylä
65.99334;29.22716;-1.0;Kuusamo lentoasema
66.36999;29.31193;-0.5;Kuusamo Kiutaköngäs
66.16616;29.15172;-2.4;Kuusamo Rukatunturi
66.32027;29.39967;-1.0;Kuusamo Juuma
66.52952;24.64960;1.2;Ylitornio Meltosjärvi
66.77278;23.96303;1.5;Pello kirkonkylä
66.56236;25.83814;0.3;Rovaniemi lentoasema
66.49832;25.70880;1.6;Rovaniemi rautatieasema
67.36663;26.62901;-0.8;Sodankylä Tähtelä
66.57941;26.01098;0.7;Rovaniemi Apukka
66.71556;27.15912;-0.3;Kemijärvi lentokenttä
67.28611;28.17691;-0.5;Savukoski kirkonkylä
67.02204;27.21840;-2.9;Pelkosenniemi Pyhätunturi
66.81660;28.68829;-0.9;Salla kirkonkylä
67.16226;29.17766;-1.4;Salla Naruska
68.06284;24.03335;-5.9;Muonio Laukukero
67.97328;24.11559;-3.7;Muonio Sammaltunturi
67.99997;24.24001;-1.8;Kittilä Matorova
67.69298;24.85455;-0.9;Kittilä lentoasema
67.98721;24.24301;-1.9;Kittilä Kenttärova
67.65210;24.90162;-0.4;Kittilä kirkonkylä
68.16961;25.78316;-1.8;Kittilä Pokka
67.82151;27.74635;-2.4;Sodankylä Lokka
68.08422;27.18501;-2.0;Sodankylä Vuotso
68.41506;27.41326;-2.6;Inari Saariselkä matkailukeskus
68.43394;27.44410;-4.6;Inari Saariselkä Kaunispää
68.47800;28.30123;-2.7;Inari Raja-Jooseppi
67.74858;29.61132;-2.8;Salla Värriötunturi
69.04948;20.79115;-2.3;Enontekiö Kilpisjärvi kyläkeskus
