n;e;temp;name
60.30373;25.54916;4.6;Porvoo Kilpilahti satama
60.12467;19.90362;3.2;Jomala Maarianhamina lentoasema
59.77909;21.37479;3.8;Parainen Utö
59.95911;19.95374;3.6;Lemland Nyhamn
60.17824;19.98686;2.9;Jomala Jomalaby
60.30098;19.13142;1.7;Hammarland Märket
59.50454;20.34748;3.1;Kökar Bogskär
60.11163;21.69828;3.8;Parainen Fagerholm
60.25823;20.74698;3.6;Kumlinge kirkonkylä
59.77363;22.94868;4.3;Hanko Russarö
60.3869;22.55183;3.8;Kaarina Yltöinen
59.86949;22.19343;4.2;Kemiönsaari Vänö
59.80861;22.91248;4.3;Hanko Tulliniemi
60.37788;22.0964;3.8;Turku Rajakari
60.45439;22.1787;4.9;Turku Artukainen
60.17123;22.75768;3.4;Kemiönsaari Kemiö
59.84383;23.24839;4.4;Hanko Tvärminne
60.37392;23.11292;3.7;Salo Kärkkä
59.82076;23.57309;4;Raasepori Jussarö
60.46415;23.64976;3;Salo Kiikala lentokenttä
60.3267;24.95675;4.4;Vantaa Helsinki-Vantaan lentoasema
59.93114;24.01408;4.1;Inkoo Bågaskär
60.17523;24.94459;4.9;Helsinki Kaisaniemi
60.24446;24.04951;3.5;Lohja Porla
60.41875;24.39862;2.5;Vihti Maasoja
60.10512;24.97539;3.9;Helsinki Harmaja
59.91982;24.35023;4;Kirkkonummi Mäkiluoto
60.20307;24.96131;5;Helsinki Kumpula
60.25299;25.04549;3.9;Helsinki Malmi lentokenttä
59.98568;25.59879;4.2;Porvoo Kalbådagrund
60.20382;25.62546;4.6;Porvoo Emäsalo
60.39172;25.6073;3.8;Porvoo Harabacka
60.37538;26.95893;4.1;Kotka Rankki
60.27476;26.44759;4;Loviisa Orrengrund
60.28676;27.18482;4.2;Kotka Haapasaari
60.7222;21.02681;2.9;Kustavi Isokari
61.14475;21.30273;2.5;Rauma Kylmäpihlaja
61.47893;21.7832;2.5;Pori rautatieasema
61.25294;22.34613;3.4;Kokemäki Tulkkila
60.81401;23.49761;3.2;Jokioinen Ilmala
61.46561;23.74678;3.3;Tampere Härmälä
60.64668;23.80559;2.9;Somero Salkola
60.59589;24.80297;2.9;Hyvinkää Hyvinkäänkylä
60.50878;24.65373;2.8;Nurmijärvi Röykkä
60.9992;24.49163;3.5;Hämeenlinna Katinen
61.11454;24.32449;3.2;Hattula Lepaa
60.96211;25.6309;2.9;Lahti Laune
61.05408;25.03844;2.7;Hämeenlinna Lammi Pappila
61.26521;25.52021;1.7;Asikkala Pulkkilanharju
61.2166;25.13283;1.8;Hämeenlinna Lammi Evo
60.89839;26.94882;2.8;Kouvola Utti lentoasema
60.69648;26.81116;3.3;Kouvola Anjala
61.20005;26.0495;2.7;Heinola Asemantaus
60.89077;26.92915;2.7;Kouvola Utti Lentoportintie
60.5272;27.67274;3.4;Virolahti Koivuniemi
61.04416;28.15092;2.8;Lappeenranta lentoasema
61.03879;28.56395;2.1;Lappeenranta Konnunsuo
61.05754;28.20873;3.2;Lappeenranta Lepola
61.1982;28.47308;1.1;Lappeenranta Hiekkapakka
61.44467;29.46108;1.9;Parikkala Koitsanlahti
62.33382;21.19081;0.9;Kaskinen Sälgrund
61.6304;21.37592;2.1;Pori Tahkoluoto satama
62.20324;21.16983;1.1;Kristiinankaupunki Majakka
62.18325;22.79972;1.4;Karvia Alkkia
62.41345;22.18372;1.5;Kauhajoki Kuja-Kokko
61.83864;22.46368;2.4;Kankaanpää Niinisalo lentokenttä
62.32783;23.54228;1.3;Virrat Äijänneva
61.51757;23.75388;2.7;Tampere Siilinkari
61.85539;24.80458;2.6;Jämsä Halli lentoasema
61.84591;24.28696;2.3;Juupajoki Hyytiälä
61.85959;24.81483;2.9;Jämsä Halli Lentoasemantie
62.39758;25.67087;2;Jyväskylä lentoasema
61.70448;25.50529;1.8;Luhanka Judinsalo
61.87942;26.09478;1.8;Joutsa Savenaho
61.6886;27.20219;2;Mikkeli lentoasema
61.8923;27.88528;2.1;Juva Partala
62.32221;27.90785;2.5;Varkaus Kosulanniemi
61.9464;28.93131;2;Savonlinna lentoasema
62.06302;28.56618;2.3;Rantasalmi Rukkasluoto
61.80186;29.31506;2;Savonlinna Punkaharju Laukansaari
62.23539;30.34662;2.1;Tohmajärvi Kemie
63.43508;21.06856;1.9;Mustasaari Valassaaret
62.97839;20.74006;1.5;Maalahti Strömmingsbådan
63.09875;21.63952;1.2;Vaasa Klemettilä
63.12045;23.04366;2.5;Kauhava lentokenttä
62.55461;24.14239;0.5;Ähtäri Inha
63.44564;24.44422;0.7;Halsua Purola
63.08898;24.26084;0.6;Alajärvi Möksy
62.51044;24.80764;1.4;Multia Karhila
63.08225;25.85862;2.6;Viitasaari Haapaniemi
62.92178;26.4247;2.2;Vesanto Sonkari
63.14343;27.31317;2.8;Kuopio Maaninka
